full name,full name_label,alias,alias_label,account name,account name_label,social security number,social security number_label,national id number,national id number_label,passport number,passport number_label,drivers license number,drivers license number_label,government id number,government id number_label,certificate number,certificate number_label,medical record number,medical record number_label,bank account number,bank account number_label,credit card number,credit card number_label,debit card number,debit card number_label,email address,email address_label,phone number,phone number_label,fax number,fax number_label,physical address,physical address_label,geolocation data,geolocation data_label,ip address,ip address_label,device serial number,device serial number_label,mac address,mac address_label
Linda D'Souza,TRUE,lindadsouza_01,TRUE,Linda_34,FALSE,675 74 5169,TRUE,NID-PB2HWRDL,FALSE,NKBHJWNF9,FALSE,ABSIMF8ICY,FALSE,,FALSE,CERT-2025-952701,TRUE,MRN-8109305,TRUE,951852557,TRUE,3715-5903-0819-6953,TRUE,**** **** **** 7547,TRUE,"""linda.dsouza@5""@testmail.com",TRUE,(810) 681-1631 x18,TRUE,,FALSE,"9326 Pine Lane, Austin, TX 44753, USA",TRUE,62.181338;-142.011795,TRUE,127.0.0.1,TRUE,05HJVXOVBK21,FALSE,0ac0.9a3f.4f4e,FALSE
Emily Smith,TRUE,emilysmith726,FALSE,Emily Smith Account,TRUE,Not Provided,FALSE,8.16766E+11,FALSE,510P2U7,FALSE,942TR-,FALSE,,FALSE,CERT-2012-552049,TRUE,MRN-4469399,TRUE,4687 22037,TRUE,5406-1386-7485-7835,TRUE,6267-6449-4363-2703,TRUE,EMILY.SMITH@company.org,TRUE,(548) 618-7128 x643,TRUE,,FALSE,"8904 Main St, San Francisco, IL 34580, USA",TRUE,Latitude: 59.93202; Longitude: 75.446081,TRUE,109.210.104.48,TRUE,,FALSE,1613ba4d4029,FALSE
John O'Nguyen,TRUE,johnonguyen_01,FALSE,John_54,FALSE,,FALSE,FR10933465336,FALSE,A8SHZQ,FALSE,22CJG3AR,FALSE,GOV-562250,TRUE,CERT-2003-858695,TRUE,MRN-9283397,TRUE,5916983317,TRUE,XXXX-XXXX-XXXX-0000,TRUE,6271-9260-2611-8685,TRUE,"""JOHN.ONGUYEN@8""@MYDOMAIN.FR",TRUE,+33 8 27 99 59,TRUE,,FALSE,"5013 2nd Ave, Austin, CA 74337, USA",TRUE,POINT(166.231828 24.433184),TRUE,3961:55a0:4c70:12e7:b54c:3d81::bc9e,TRUE,,FALSE,D5:F2:60:B9:3D:42,TRUE
Chris Moreau,TRUE,chris85,FALSE,Chris Moreau Account,TRUE,606906114,TRUE,6.70886E+11,FALSE,680HNJ,FALSE,X2UN7T6E,FALSE,GOV-205639,TRUE,CERT-2010-751452,TRUE,MRN-3475601,TRUE,95470060,TRUE,4810-7951-6352-1415,TRUE,masked: **** **** **** 5678,FALSE,CHRIS.MOREAU@company.org,TRUE,-3615,FALSE,,FALSE,"6501 Sunset Blvd, Seattle, WA 34846, USA",TRUE,POINT(-119.372961 -38.788241),TRUE,127.0.0.1,TRUE,,FALSE,C8:CE:BA:98:25:4B,TRUE
Vishal García,TRUE,vishalgarcía_dev,FALSE,Vishal García Account,TRUE,524743125,TRUE,3.57319E+11,FALSE,SZMW3Y60,FALSE,IEP8AUWEQ9RW,TRUE,,FALSE,CERT-2005-943955,TRUE,MRN-5133059,TRUE,9050 417372,TRUE,**** **** **** 6374,FALSE,masked: **** **** **** 5678,FALSE,vishal.garcía@service.net,TRUE,-9380,FALSE,-9121,FALSE,"9014 2nd Ave, Austin, WA 68407, USA",TRUE,"23.820454,-113.861965",TRUE,f4dc:580:6b53:41b8:a8c:8f69:601b:,FALSE,SN-4438168,TRUE,06:95:38:66:3e:78,FALSE
Samantha Moreau,TRUE,samanthamoreau,TRUE,corp:Samantha Moreau,TRUE,000-00-0000,FALSE,5.55354E+11,FALSE,SZG2X58,FALSE,RGBT91,FALSE,redacted,FALSE,CERT-2002-547165,TRUE,MRN-4262447,TRUE,89974903043,TRUE,XXXX-XXXX-XXXX-0000,TRUE,6181-2759-1700-3431,TRUE,SAMANTHA.MOREAU@example.com,TRUE,+33 1 72 23 41,TRUE,(233) 569-3106 x181,TRUE,"4339 Pine Lane, New York, TX 67375, USA",TRUE,POINT(89.374602 80.321701),TRUE,45ad:a1c5:d94d:3d66::d197:37a3:a016,TRUE,,FALSE,bc-1e-36-8a-9f-10,FALSE
Robert Williams,TRUE,robertwilliams471,FALSE,corp:Robert Williams,TRUE,425934302,TRUE,7.42718E+11,FALSE,9YO6FHB,FALSE,AII8KC4SVW,FALSE,,FALSE,CERT-2014-817726,TRUE,MRN-7423935,TRUE,3486965371,TRUE,5105-2089-8318-7308,TRUE,6027-5908-2680-0904,TRUE,ROBERT.WILLIAMS@service.net,TRUE,+33 8 56 67 89,TRUE,,FALSE,"7110 Main St, San Francisco, WA 47094, USA",TRUE,POINT(-175.756595 -6.325747),TRUE,127.0.0.1,TRUE,,FALSE,AD:02:AD:31:9B:AB,TRUE
Samantha O'Dupont,TRUE,samanthaodupont,FALSE,acct_Samantha_O'Dupont,FALSE,351-64-1931,TRUE,FR60098057836,FALSE,I6U18R2,FALSE,B5C1CB5RYGRP,FALSE,redacted,FALSE,CERT-2001-053354,TRUE,MRN-7443687,TRUE,4278 5314,TRUE,XXXX-XXXX-XXXX-0000,TRUE,masked: **** **** **** 5678,FALSE,samantha_odupont.76@service.net,TRUE,+33 6 33 19 72,TRUE,+33 9 76 73 77,FALSE,"2353 3rd St, Austin, IL 49201, USA",TRUE,"-64.486225,-178.219119",TRUE,:d40c:5720:ef50:76dd:dd14:8d1f:11c4,FALSE,SN-9035492,TRUE,61:7a:7b:0a:28:37,FALSE
Patricia Nguyen,TRUE,patricianguyen,FALSE,Patricia_40,FALSE,037136402,TRUE,NID-TMWD5RXA,FALSE,PL6D3BI,FALSE,RATMFBA34G,FALSE,,FALSE,CERT-2007-710598,TRUE,MRN-2773765,TRUE,21501343,TRUE,XXXX-XXXX-XXXX-0000,TRUE,**** **** **** 3296,FALSE,patricia.nguyen@sub.testmail.com,TRUE,-10453,FALSE,-10364,FALSE,"8936 3rd St, Chicago, TX 23949, USA",TRUE,POINT(-112.192194 74.880321),TRUE,151.22.30.171,TRUE,NIV6142VSZX9,FALSE,f5:54:9e:ec:0e:7b,TRUE
Anaïs Brown,TRUE,anaïsbrown776,FALSE,Anaïs_82,FALSE,690 86 5008,TRUE,NID-1ATN706K,TRUE,B7UVLV1K,FALSE,LYY-JNJU2K5P,FALSE,,FALSE,CERT-2022-868126,TRUE,MRN-7047233,TRUE,0395186956,TRUE,4408-8331-8380-1697,TRUE,4016-3185-2002-3919,TRUE,"""anaïs.brown@1""@testmail.com",TRUE,+33 6 87 12 41,FALSE,,FALSE,"103 Rue du Faubourg, Résidence Les Tilleuls 74000 Paris, France",TRUE,"{""lat"": -22.280738, ""lon"": -56.608684}",TRUE,76.158.122.66,TRUE,64HXEUS5T1HH,FALSE,1d:e7:05:44:f7:48,TRUE
