full name,alias,account name,social security number,national id number,passport number,drivers license number,government id number,certificate number,medical record number,bank account number,credit card number,debit card number,email address,phone number,fax number,physical address,geolocation data,ip address,device serial number,mac address,,,,,,,
DR. JOHN D'SOUZA BROWN MOREAU SMITH O'CONNOR GARCÍA,johndsouza_x,John D'Souza Account,,NID-3XKXWNRE,8PK3YR9,UDOCUZRE,,CERT-2006-687278,MRN-7242388,4828 1489,<script>alert('xss')</script>,masked: **** **** **** 5678,DR.JOHN.DSOUZA.BROWN.MOREAU.SMITH.OCONNOR.GARCÍA@SERVICE.NET,+33 8 16 96 93,+33 7 53 23 41,"8787 Elm St, Austin, NY 65296, USA
PO Box 3270, near the big, old, oak tree, behind the museum","-6.726948,134.814943",3221:19e6:78e:2fc0:7906:5526:d015:,SN-7728339,6f1d.1fa0.1d19,,,,,,,
Emily-de la Cruz,emily-delacruz234,Emily-de_9,696-69-5426,NID-1EVUHT6T,UZS9IM0YL,Z9ATSN1U32,,CERT-2016-496172,MRN-4895134,7986872774,N/A,masked: **** **** **** 5678,emilyde.la.cruz..y@mydomain.fr,-8289,N/A,"8838 Main St, San Francisco, IL 39389, USA","50.621949,54.631676",6.78.122.33,,c0:cb:65:26:7c:34,,,,,,,
Jane Schmidt,janeschmidt,corp:Jane Schmidt,053-33-7828,FR96499091334,4SCOSS3EO,M1H8OJRJED,,CERT-2019-785340,MRN-1746488,6746807154,N/A,masked: **** **** **** 5678,jane.schmidt@sub.testmail.com,+33 7 15 50 70,(879) 867-3492 x508,"8230 Maple Drive, Seattle, IL 23154, USA",-10.744882;9.342391,127.0.0.1,,f9:12:23:78:93:74,,,,,,,
Linda Moreau,lindamoreau_01,Linda_60,000-00-0000,6.92618E+11,NE9NNOV,ARJI8QLH,GOV-793169,CERT-2004-015583,MRN-9502402,8.56985E+11,XXXX-XXXX-XXXX-0000,masked: **** **** **** 5678,linda.moreau@sub.mydomain.fr,-3307,N/A,"5586 3rd St, New York, IL 50846, USA","49.830412,24.33368",194.25.41.70,,f9:9d:17:70:ca:1c,,,,,,,
Jane Moreau,  janemoreau_x  ,corp:Jane Moreau,NID-FJWTZIFT,NID-K2C0XP2S,O8PT4MX23,Y670KMIQD4,GOV-489244,CERT-2022-886983,MRN-4124782,9.86143E+11,N/A,masked: **** **** **** 5678,"""jane.moreau@8""@mydomain.fr",+33 3 73 98 73,N/A,"8938 Maple Drive, Chicago, IL 23447, USA",Latitude: 28.96546; Longitude: -69.661492,114.179.228.11,SN-6914963,78:bb:b9:c4:10:4e,,,,,,,
ETHAN DUPONT,ethandupont,corp:ETHAN DUPONT,576-14-5229,2.59533E+11,XZXCZD9M,9SEY629RHI,redacted,CERT-2011-833511,MRN-2398680,55169409,**** **** **** 7020,6786527858549733,ethan.dupont+278@company.org,(830) 958-4920 x249,-5987,"6772 Oak Avenue, Chicago, TX 23178, USA","{""lat"": -65.255934, ""lon"": 167.226756}",f38e:f474:661f::a470:9221:1e4a:2dcd,L0LCZ5LSCATG,e8fc.44ef.8b62,,,,,,,
JOHN WILLIAMS,johnwilliams123,JOHN_59,897-93-1849,FR39599534283,WY7U00,TYL84POT,,CERT-2025-485518,MRN-6882634,6785 445877,N/A,masked: **** **** **** 5678,JOHN.WILLIAMS@testmail.com,-6707,N/A,"3701 Elm St, Chicago, CA 95686, USA",26.981001;-168.593579,:4d6:57bf:2a55:ffed:de29:a99c:30d3,SN-8977571,537b.c7a9.c447,,,,,,,
Claire García,clairegarcía,corp:Claire García,343-56-9739,NID-QJ1YE24Z,8CX8FGPWK,#NAME?,,CERT-2007-535483,MRN-7567982,8673622660,**** **** **** 5577,6912513412528668,"""claire.garcía@8""@service.net",+33 1 38 47 14,N/A,"191 Allée des Rosiers, Bâtiment 1 99788 Paris, France",7.567808;92.443047,346f:7ebc:986d:1080:e643:868f:b278:,,56:A5:95:94:88:30,,,,,,,
Chris Smith-Jones,chrissmith-jones284,Chris_78,869-85-4943,NID-6S601ZF8,RFTF6NJ,ZET1PDPF1H,GOV-575394,CERT-2009-698436,MRN-0202758,800030756,**** **** **** 7054,6493759738320609,chris.smithjones@sub.example.com,+33 7 19 85 82,N/A,"5162 Pine Lane, Austin, IL 51688, USA","{""lat"": -47.949979, ""lon"": 159.679687}",4f91:3618:5428:e62d:ee9e::d022:3dd1,SN-4483557,7f:b6:ca:19:99:85,,,,,,,
Grace Schmidt,graceschmidt,Grace Schmidt Account,590-50-5814,5.90599E+11,JH7XEXZ,VTUIK1,redacted,CERT-2020-332696,MRN-3926442,4331 5410,N/A,**** **** **** 0618,"""grace.schmidt@5""@service.net",-5381,N/A,"4316 3rd St, New York, IL 83956, USA","45.402326,60.288645",999.999.999.999,SN-1582647,de:67:4b:84:a3:22,,,,,,,
