full name,full name_label,alias,alias_label,account name,account name_label,social security number,social security number_label,national id number,national id number_label,passport number,passport number_label,drivers license number,drivers license number_label,government id number,government id number_label,certificate number,certificate number_label,medical record number,medical record number_label,bank account number,bank account number_label,credit card number,credit card number_label,debit card number,debit card number_label,email address,email address_label,phone number,phone number_label,fax number,fax number_label,physical address,physical address_label,geolocation data,geolocation data_label,ip address,ip address_label,device serial number,device serial number_label,mac address,mac address_label
DR. JOHN D'SOUZA BROWN MOREAU SMITH O'CONNOR GARCÍA,TRUE,johndsouza_x,FALSE,John D'Souza Account,TRUE,,FALSE,NID-3XKXWNRE,FALSE,8PK3YR9,TRUE,UDOCUZRE,FALSE,,FALSE,CERT-2006-687278,TRUE,MRN-7242388,TRUE,4828 1489,TRUE,<script>alert('xss')</script>,FALSE,masked: **** **** **** 5678,FALSE,DR.JOHN.DSOUZA.BROWN.MOREAU.SMITH.OCONNOR.GARCÍA@SERVICE.NET,TRUE,+33 8 16 96 93,TRUE,+33 7 53 23 41,FALSE,"8787 Elm St, Austin, NY 65296, USA
PO Box 3270, near the big, old, oak tree, behind the museum",TRUE,"-6.726948,134.814943",TRUE,3221:19e6:78e:2fc0:7906:5526:d015:,TRUE,SN-7728339,TRUE,6f1d.1fa0.1d19,TRUE
Emily-de la Cruz,TRUE,emily-delacruz234,TRUE,Emily-de_9,FALSE,696-69-5426,TRUE,NID-1EVUHT6T,FALSE,UZS9IM0YL,FALSE,Z9ATSN1U32,FALSE,,FALSE,CERT-2016-496172,TRUE,MRN-4895134,TRUE,7986872774,TRUE,,FALSE,masked: **** **** **** 5678,FALSE,emilyde.la.cruz..y@mydomain.fr,TRUE,-8289,FALSE,,FALSE,"8838 Main St, San Francisco, IL 39389, USA",TRUE,"50.621949,54.631676",TRUE,6.78.122.33,TRUE,,FALSE,c0:cb:65:26:7c:34,TRUE
Jane Schmidt,TRUE,janeschmidt,TRUE,corp:Jane Schmidt,TRUE,053-33-7828,TRUE,FR96499091334,FALSE,4SCOSS3EO,FALSE,M1H8OJRJED,FALSE,,FALSE,CERT-2019-785340,TRUE,MRN-1746488,TRUE,6746807154,TRUE,,FALSE,masked: **** **** **** 5678,FALSE,jane.schmidt@sub.testmail.com,TRUE,+33 7 15 50 70,TRUE,(879) 867-3492 x508,TRUE,"8230 Maple Drive, Seattle, IL 23154, USA",TRUE,-10.744882;9.342391,TRUE,127.0.0.1,TRUE,,FALSE,f9:12:23:78:93:74,TRUE
Linda Moreau,TRUE,lindamoreau_01,FALSE,Linda_60,TRUE,000-00-0000,FALSE,6.92618E+11,FALSE,NE9NNOV,FALSE,ARJI8QLH,FALSE,GOV-793169,TRUE,CERT-2004-015583,TRUE,MRN-9502402,TRUE,8.56985E+11,FALSE,XXXX-XXXX-XXXX-0000,TRUE,masked: **** **** **** 5678,FALSE,linda.moreau@sub.mydomain.fr,TRUE,-3307,FALSE,,FALSE,"5586 3rd St, New York, IL 50846, USA",TRUE,"49.830412,24.33368",TRUE,194.25.41.70,TRUE,,FALSE,f9:9d:17:70:ca:1c,TRUE
Jane Moreau,TRUE,  janemoreau_x  ,FALSE,corp:Jane Moreau,TRUE,NID-FJWTZIFT,FALSE,NID-K2C0XP2S,FALSE,O8PT4MX23,FALSE,Y670KMIQD4,FALSE,GOV-489244,TRUE,CERT-2022-886983,TRUE,MRN-4124782,TRUE,9.86143E+11,FALSE,,FALSE,masked: **** **** **** 5678,FALSE,"""jane.moreau@8""@mydomain.fr",TRUE,+33 3 73 98 73,FALSE,,FALSE,"8938 Maple Drive, Chicago, IL 23447, USA",TRUE,Latitude: 28.96546; Longitude: -69.661492,TRUE,114.179.228.11,TRUE,SN-6914963,TRUE,78:bb:b9:c4:10:4e,TRUE
ETHAN DUPONT,TRUE,ethandupont,FALSE,corp:ETHAN DUPONT,TRUE,576-14-5229,TRUE,2.59533E+11,FALSE,XZXCZD9M,FALSE,9SEY629RHI,FALSE,redacted,FALSE,CERT-2011-833511,TRUE,MRN-2398680,TRUE,55169409,TRUE,**** **** **** 7020,FALSE,6786527858549733,TRUE,ethan.dupont+278@company.org,TRUE,(830) 958-4920 x249,TRUE,-5987,FALSE,"6772 Oak Avenue, Chicago, TX 23178, USA",TRUE,"{""lat"": -65.255934, ""lon"": 167.226756}",TRUE,f38e:f474:661f::a470:9221:1e4a:2dcd,TRUE,L0LCZ5LSCATG,FALSE,e8fc.44ef.8b62,FALSE
JOHN WILLIAMS,TRUE,johnwilliams123,FALSE,JOHN_59,FALSE,897-93-1849,TRUE,FR39599534283,TRUE,WY7U00,TRUE,TYL84POT,FALSE,,FALSE,CERT-2025-485518,TRUE,MRN-6882634,TRUE,6785 445877,TRUE,,FALSE,masked: **** **** **** 5678,FALSE,JOHN.WILLIAMS@testmail.com,TRUE,-6707,FALSE,,FALSE,"3701 Elm St, Chicago, CA 95686, USA",TRUE,26.981001;-168.593579,TRUE,:4d6:57bf:2a55:ffed:de29:a99c:30d3,FALSE,SN-8977571,TRUE,537b.c7a9.c447,TRUE
Claire García,TRUE,clairegarcía,TRUE,corp:Claire García,TRUE,343-56-9739,TRUE,NID-QJ1YE24Z,FALSE,8CX8FGPWK,FALSE,#NAME?,FALSE,,FALSE,CERT-2007-535483,TRUE,MRN-7567982,TRUE,8673622660,TRUE,**** **** **** 5577,FALSE,6912513412528668,TRUE,"""claire.garcía@8""@service.net",TRUE,+33 1 38 47 14,TRUE,,FALSE,"191 Allée des Rosiers, Bâtiment 1 99788 Paris, France",TRUE,7.567808;92.443047,TRUE,346f:7ebc:986d:1080:e643:868f:b278:,TRUE,,FALSE,56:A5:95:94:88:30,TRUE
Chris Smith-Jones,TRUE,chrissmith-jones284,FALSE,Chris_78,FALSE,869-85-4943,TRUE,NID-6S601ZF8,TRUE,RFTF6NJ,FALSE,ZET1PDPF1H,FALSE,GOV-575394,TRUE,CERT-2009-698436,TRUE,MRN-0202758,TRUE,800030756,TRUE,**** **** **** 7054,FALSE,6493759738320609,TRUE,chris.smithjones@sub.example.com,TRUE,+33 7 19 85 82,FALSE,,FALSE,"5162 Pine Lane, Austin, IL 51688, USA",TRUE,"{""lat"": -47.949979, ""lon"": 159.679687}",TRUE,4f91:3618:5428:e62d:ee9e::d022:3dd1,TRUE,SN-4483557,TRUE,7f:b6:ca:19:99:85,TRUE
Grace Schmidt,TRUE,graceschmidt,TRUE,Grace Schmidt Account,TRUE,590-50-5814,TRUE,5.90599E+11,FALSE,JH7XEXZ,FALSE,VTUIK1,FALSE,redacted,FALSE,CERT-2020-332696,TRUE,MRN-3926442,TRUE,4331 5410,TRUE,,FALSE,**** **** **** 0618,TRUE,"""grace.schmidt@5""@service.net",TRUE,-5381,FALSE,,FALSE,"4316 3rd St, New York, IL 83956, USA",TRUE,"45.402326,60.288645",TRUE,999.999.999.999,TRUE,SN-1582647,TRUE,de:67:4b:84:a3:22,TRUE
